Player 1,Player 1 Slot,Character 1,Character 1 Alt,Player 2,Player 2 Slot,Character 2,Character 2 Alt,Winner,Tournament No.,Round No.
frostbitlillies,11,Corrin,6,fairylatte,8,Sephiroth,8,fairylatte,4,1
WillyWyrn,6,Captain Falcon,6,NoWyre,10,Kirby,1,WillyWyrm,4,1
feffer,5,Isabelle,1,NormalWaddleDee,25,Bowser Jr,4,feffer,4,1
technetiumetal,12,Pit,15,kael333_,27,Incineroar,8,kael333_,4,2
Khan_Cena,4,Zelda,4,goonguy37,9,Ganondorf,1,Khan_Cena,4,2
ASingleRaindrop,20,Shulk,8,scarlethaven346,14,Byleth,4,scarlethaven346,4,2
the1trueant,1,Sephiroth,7,7the1nquisition,19,Ridley,3,the1trueant,4,2
Solar_Symphony,30,Zelda,2,manashortage,13,Ness,2,Solar_Symphony,4,2
GaryTheCrobat,16,Greninja,3,StuffWithConnor,28,Pichu,7,GaryTheCrobat,4,2
collectordoggo,29,Isabelle,3,fairylatte,8,Sephiroth,8,collectordoggo,4,2
WillyWyrn,6,Captain Falcon,6,feffer,5,Isabelle,1,WillyWyrm,4,2
kael333_,27,Incineroar,8,Khan_Cena,4,Zelda,4,kael333_,4,3
scarlethaven354,14,Byleth,4,the1trueant,1,Sephiroth,7,the1trueant,4,3
Solar_Symphony,30,Zelda,2,GaryTheCrobat,16,Greninja,3,Solar_Symphony,4,3
collectordoggo,29,Isabelle,3,WillyWyrm,6,Captain Falcon,6,WillyWyrm,4,3
kael333_,27,Incineroar,8,the1trueant,1,Sephiroth,7,kael333_,4,4
Solar_Symphony,30,Zelda,2,WillyWyrm,6,Captain Falcon,6,Solar_Symphony,4,4
kael333_,27,Incineroar,8,Solar_Sympony,30,Zelda,2,Solar_Symphony,4,5
DarkLordArbitur,17,King K. Rool,7,Lightsonus,10,Robin,5,Lightsonus,5,1
ebgam3r7,5,Ice Climbers,5,Aburch13,18,Little Mac,7,ebgam3r7,5,1
goonguy37,3,Ganondorf,4,jeshsomething,28,Sonic,5,jeshsomething,5,1
kael333_,4,Incineroar,2,NormalWaddleDee,9,Wario,6,NormalWaddleDee,5,1
NoWyre,12,Sephiroth,8,remylikeschilli,13,Kirby,3,NoWyre,5,1
Benwor,32,Peach,5,Khan_Cena,30,Incineroar,5,Khan_Cena,5,1
just_like_home,21,Snake,3,scarlethaven346,8,Byleth,6,scarlethaven346,5,1
Azulparrot,11,Sora,2,feffer,26,Ike,6,Azulparrot,5,1
GaryTheCrobat,16,Greninja,3,6double,6,Byleth,7,6double,5,1
collectordoggo,25,Isabelle,2,mossybanana,27,Isabelle,6,mossybanana,5,1
ASingleRaindrop,1,Sephiroth,7,anzennaowl,1,Sephiroth,7,anzennaowl,5,1
ToadTheBuilder,7,Wolf,8,windbornideas,2,Marth,7,windbornideas,5,1
the1trueant,20,Hero,5,spoons_r_yummy,22,Ice Climbers,7,the1trueant,5,1
FyrusYT,15,Joker,3,technetiumetal,23,Pythra,3,technetiumetal,5,1
jujupuff,19,Hero,4,Jazmine_Dragon,14,Sheik,8,jujupuff,5,1
FaithyTree,31,Zelda,7,NECROcade,29,Cloud,6,FaithyTree,5,1
Lightsonus,10,Robin,5,ebgam3r7,5,Ice Climbers,5,ebgam3r7,5,2
jeshsomething,28,Sonic,5,NormalWaddleDee,9,Wario,6,NormalWaddleDee,5,2
NoWyre,12,Sephiroth,8,Khan_Cena,30,Incineroar,5,Khan_Cena,5,2
scarlethaven354,8,Byleth,6,Azulparrot,11,Sora,2,scarlethaven346,5,2
6double,6,Byleth,7,mossybanana,27,Isabelle,6,6double,5,2
anzennaowl,1,Sephiroth,7,windbornideas,2,Marth,7,anzennaowl,5,2
the1trueant,20,Hero,5,technetiumetal,23,Pythra,3,the1trueant,5,2
jujupuff,19,Hero,4,FaithyTree,31,Zelda,7,jujupuff,5,2
ebgam3r7,5,Ice Climbers,5,NormalWaddleDee,9,Wario,6,ebgam3r7,5,3
Khan_Cena,30,Incineroar,5,scarlethaven346,8,Byleth,6,scarlethaven346,5,3
6double,6,Byleth,7,anzennaowl,1,Sephiroth,7,6double,5,3
the1trueant,20,Hero,5,jujupuff,19,Hero,4,the1trueant,5,3
ebgam3r7,5,Ice Climbers,5,scarlethaven346,8,Byleth,6,scarlethaven346,5,4
6double,6,Byleth,7,the1trueant,20,Hero,5,6double,5,4
scarlethaven354,8,Byleth,6,6double,6,Byleth,7,scarlethaven346,5,5
Benwor,2,Dark Samus,7,NormalWaddleDee,19,Wario,6,NormalWaddleDee,6,1
sewagebear,30,Joker,5,ToadTheBuilder,27,Wolf,8,ToadTheBuilder,6,1
pleasegiveusername,12,Lucina,1,satanicmetalbug,18,Link,1,satanicmetalbug,6,1
the1trueant,13,Hero,5,ebgam3r7,20,Pokemon Trainer,7,ebgam3r7,6,1
NoWyre,1,Sephiroth,8,Jazmine_Dragon,21,Sheik,3,NoWyre,6,1
fairylatte,31,Cloud,3,Faetalis_,25,Terry,1,Faetalis_,6,1
dahPook,24,Pikachu,8,BOBBYWASABI,31,Villager,5,BOBBYWASABI,6,1
just_like_home,16,Snake,3,windbornideas,6,Marth,7,just_like_home,6,1
jeshsomething,29,Sonic,5,jujupuff,3,Villager,2,jujupuff,6,1
NECROcade,28,Banjo,6,fro4152,17,Ness,2,fro4152,6,1
Khan_Cena,15,Zelda,6,Sinistarintent,26,Daisy,6,Khan_Cena,6,1
spooky_bnuuy,10,Pichu,6,FyrusYT,7,Joker,3,FyrusYT,6,1
User_name_Pending,11,Pythra,,kael333_,8,Incineroar,2,kael333_,6,1
manashortage,4,Ness,7,FaithyTree,23,Piranha Plant,4,manashortage,6,1
spoons_r_yummy,9,Ice Climbers,7,Lightsonus,22,Robin,5,Lightsonus,6,1
